Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0267,Generisk data,Abwasserrohr PE-HD,"Rør, Kloakrør HDPE",2.09831,3.45444,-,-1.70559,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cd5b784e-497d-4c76-abbd-d66867e1e986?version=20.19.120,
#G0270,Generisk data,Kunststeinplatte (Epoxidharz gebunden),Kunststenplade (bundet af epoxyharpiks),28.3505,0.381535,-,-0.106807,1,M2,52,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/ccdb5f3c-7305-46c7-ad5b-a05bb922a743?version=20.19.120,
#G0273,Generisk data,Fahrstuhl - Grundkomponenten (stockwerkunabhängig),Elevator (grundkomponenter pr. STK.),5193,37.3937,4.88271,-1579.64,1,STK,1603,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cca90907-409d-4f9c-9922-fdc011a0eb6f?version=20.19.120,
#G0284,Generisk data,Sanitärkeramik,Sanitetskeramik,2.80282,0.0163697,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/cace7e48-3fb4-4e11-8cc4-fcefc8b4116a?version=20.19.120,
#G0289,Generisk data,Lüfter dezentral (Wand & Decke) 60 m³/h,Ventilationsanlæg decentraliseret (væg & loft) 60 m3 / h,4.08676,1.2972,0.0180285,-1.38003,1,STK,878,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c8cf7494-2f23-4193-a185-f7d4fdfa36b6?version=20.19.120,
#G0296,Generisk data,Heizkörper,"Radiator, stålplade",4.44802,0.000818484,-,-1.55923,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c6de5beb-ffe9-4b5f-aba8-c0c2d3528c58?version=20.19.120,
#G0299,Generisk data,"EPDM-Dichtungen Aluminiumprofil, thermisch getrennt","EPDM-tætning til aluminiumsprofil, med kuldebroafbrydelse",1.38151,1.34947,1.34869,-1.4583,1,M,0.43,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c445279d-1358-4e36-9f0d-7ecfe8abda81?version=20.19.120,
#G0303,Generisk data,Chlorodifluormethan (R22),Klordifluormethan (R22),4.75856,-,1.77483,-0.212757,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c3d4882b-ee25-4595-9b95-01a318e72a44?version=20.19.120,
#G0306,Generisk data,Zellulosefaser Einblas-Dämmstoff,"Papiruldsisolering, løsfyld",-73.3725,99.0818,-,-30.5055,1,M3,45,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c355d75b-9026-4899-a41c-e5d221c424f2?version=20.19.120,
#G0309,Generisk data,PUR-Dichtmasse,PUR fugemasse,5.33286,2.65674,-,-0.944422,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/c34147d4-e691-4733-bf78-8a7ccd039006?version=20.19.120,
