Sorterings ID,Data type,Navn DE/ENG,Navn DK,"Global Opvarmning, modul A1-A3","Global Opvarmning, modul C3","Global Opvarmning, modul C4","Global Opvarmning, modul D",Deklareret faktor (FU),Deklareret enhed (FU),Masse faktor,Url (link),Kommentar
#G0757,Generisk data,Sonnenschutzlammellen Metall,"Solafskærmning, aluminiumslameller",23.6353,-,0.00068207,-8.26778,1,M2,2391,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/563350f7-fb56-4363-b86a-690227dd450e?version=20.19.120,
#G0760,Generisk data,Armierung (Kunstharzspachtel),"Mørtel, armeringsmørtel, kunstharpiks spartelmasse",0.476923,0,0.0163697,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/55a89d7b-b585-404f-be34-bb7285730a89?version=20.19.120,
#G0763,Generisk data,Edelstahl,"Rustfri stål, genanvendelse",-,-,0.00068207,-2.66377,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/55945019-018a-46da-baae-a3ee62d59cf3?version=20.19.120,
#G0765,Generisk data,Holz naturbelassen in MVA,"Affald, træ, forbrænding fjernvarme",-,1.82315,-,-0.685639,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/553d7a7a-bf66-4a69-b1ae-6cf15e396935?version=20.19.120,
#G0767,Generisk data,Stahl warmgewalzte Bleche (2-20mm),"Stål, varmvalset plade, 2-20 mm",2.67628,-,0.00068207,-1.81062,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/531ab34f-6750-41a8-aedc-35cf4df3c8b1?version=20.19.120,
#G0768,Generisk data,Feuerverzinktes Stahlblech,"Stål, Varmgalvaniseret stålplade",16.3885,-,0.00068207,-1.81062,1,M2,5.72,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/50c9e674-afd9-456c-9440-6506bec6d55b?version=20.19.120,
#G0769,Generisk data,Kalkzementmörtel,Kalkcementmørtel,202.003,-,29.4654,-,1,M3,1800,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/50180064-236e-4e52-9a1e-f172dde80844?version=20.19.120,
#G0771,Generisk data,Öl-Niedertemperaturgerät 120-400 kW (Standgerät),"Oliekedel, lav temperatur, 120-400 kW",3035.05,53.6451,1.80285,-626.817,1,STK,992,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4e5198e4-4eea-4550-8853-b76a6d6f9f05?version=20.19.120,
#G0775,Generisk data,Edelstahl Trinkwasserrohr,"Brugsvandsrør, rustfast stål",3.55922,-,0.00068207,-2.66377,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4d37d8f4-13db-418d-820d-5cf08f050eff?version=20.19.120,
#G0776,Generisk data,Elektrischer Durchlauferhitzer (21 kW),"Vandvarmer, el, gennemstrøm, 21 kW",14.7374,4.92449,-,-6.93214,1,STK,3.95,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4ce46be9-2f9c-4686-aa21-7ebf34783674?version=20.19.120,
#G0782,Generisk data,Trinkwasserrohr PE-X-Alu,"Brugsvandsrør, Alu-PEX",7.62125,1.88424,-,-4.79765,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4c33a250-3979-4e5f-9a7c-0d351085da22?version=20.19.120,
#G0785,Generisk data,Fenster-Beschlag für Doppelflügelfenster,"Vinduesbeslag, aluminium",8.73468,-,0.00068207,-2.66377,1,STK,1014,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4bf26663-9018-47a1-943d-8ed4d3f87d0f?version=20.19.120,
#G0786,Generisk data,Dampfbremse PA,Dampspærre PA,0.707438,0.219924,-,-0.0874466,1,M2,0.08,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4bb6f0f6-178c-41e0-8700-bd597f23ccb8?version=20.19.120,
#G0789,Generisk data,Bauschuttaufbereitung,Oparbejdning af byggeaffald,-,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4a937f66-c9c2-402b-9a00-83767031bfa7?version=20.19.120,
#G0790,Generisk data,Kunstharzputz,"Puds, syntetisk harpiks",1201.64,-,25.5094,-,1,M3,1700,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4a7c30d1-37d7-47e2-8271-dbb3bee91560?version=20.19.120,
#G0792,Generisk data,Strom Wärmepumpe (Luft-Wasser) 14kW,Varmepumpe (luft-vand) 14kW,642.587,42.1198,5.99447,-338.129,1,STK,187.6,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4a08f220-1c52-453c-bf8f-f209586e96c8?version=20.19.120,
#G0796,Generisk data,Pelletkessel 20-120 kW,"Pillefyr, 20-120 kW",2329.17,3.29897,1.80285,-1021.95,1,STK,833,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/49660117-13cd-4475-a66b-a13801723a37?version=20.19.120,
#G0800,Generisk data,Fahrtreppe - Grundkomponenten (unabhängig von der Förderhöhe),Rulletrappe (grundkomponenter pr. trappe),12715.1,105.496,4.88271,-5674.33,1,STK,4076,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/493df9d1-493c-4820-8bbf-8f1a5f1aec5e?version=20.19.120,
#G0804,Generisk data,Trinkwasserrohre PE X-Alu-PE X,"Brugsvandsrør, PEX-Alu-PEX",7.79468,3.0242,-,-2.92695,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/47165a1f-51e3-4612-b076-facd01e3b236?version=20.19.120,
#G0807,Generisk data,Trinkwasserrohr PB,"Brugsvandsrør, PB",3.99847,3.90707,-,-1.62827,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/45db3c26-a316-4ba7-ade5-6adc43c71118?version=20.19.120,
#G0810,Generisk data,End of life - Holzwerkstoffe in MVA,"Træprodukter, affaldsforbrænding",-,1.80183,-,-0.523199,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/44e4bf51-8e23-47e3-8f5e-5243525bb32e?version=20.19.120,
#G0812,Generisk data,Perlite 0-3,Perlite 0-3 mm,0.558289,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/44c57da1-24ce-488d-b4f9-283fa603cc9d?version=20.19.120,
#G0813,Generisk data,Lithiumbromid,Lithiumbromid,8.08139,-,9.23499,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/446ba42f-701c-4bf5-84cb-9b0963860182?version=20.19.120,
#G0815,Generisk data,"Flüssiggastank 6400 l/2,9 t (unterirdisch)","LPG tank 6400 l / 2,9 t (underjordisk)",3839.02,97.3728,-,-2159.91,1,STK,1390,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4411ce80-6a9a-4088-94bb-426805d99bfc?version=20.19.120,
#G0818,Generisk data,XPS-Dämmstoff,XPS isolering,96.3403,118.208,-,-49.5105,1,M3,32,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/43e99b8c-90d8-4fcd-90ce-342fb0b7366e?version=20.19.120,
#G0821,Generisk data,Kleber für Gipsplatten,Lim til gipsplader,0.103165,-,0.0150055,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/43c3fd78-c67e-438b-b726-dd512df5d881?version=20.19.120,
#G0827,Generisk data,"Transparente Platten PMMA, extrudiert","Plastplade, transparent, PMMA ekstruderet",5756.79,2889.91,-,-1139.6,1,M3,1190,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/41b8a86d-5d44-49fb-a9b8-de2a9041f1fd?version=20.19.120,
#G0833,Generisk data,Holz-Blendrahmen,"Vindueskarm, træ",-0.369776,4.03683,-,-1.62212,1,M,2.11,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/4127e60a-3c42-4076-83f5-5232b4ed642e?version=20.19.120,
#G0839,Generisk data,Lehmpulver,Ler pulver,0.349057,0.00337808,-,-0.0014688,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3d9f0293-304f-4731-8136-326cebf8b1f0?version=20.19.120,
#G0842,Generisk data,Schornstein gemauert (Zweizügig),Skorsten opmuret (2 rør),47.4265,3.20127,-,-,1,M,195.6,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3d6c39b1-98ef-472d-95e3-c0b49d4109c6?version=20.19.120,
#G0844,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 20 kW",726.23,0,-,-,1,STK,282,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3d3873a9-16dd-4771-82be-f7b79bbd3f53?version=20.19.120,
#G0846,Generisk data,Kies 2/32,Grus 2-32 mm,0.00285398,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3ce61a4e-4d91-4b1d-b675-276be05b9225?version=20.19.120,
#G0849,Generisk data,Rollladen Kunststoff,"Rulleskodder, PVC",23.4651,12.0519,-,-10.0487,1,M2,6.24,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3ce53be7-a3e5-4757-b7f9-68a6ecf66eb9?version=20.19.120,
#G0852,Generisk data,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW","El-varmepumpe (lodret jordvarme, saltvand) 10 kW",338.947,4.35298,0.0300174,-156.278,1,STK,139,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3bf7183e-741e-4fb7-a32e-574e76e3e747?version=20.19.120,
#G0856,Generisk data,Voranstrich (Kunstharz),Grunder til silikonespuds,0.692053,-,0.0163697,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/3a99d696-4911-45da-9f80-647ce214bca0?version=20.19.120,
#G0858,Generisk data,PVC Fußbodenbelag,PVC gulvbelægning,8.191,10.8467,-,-2.20199,1,M2,3.3,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/39da14a3-8f39-4af9-955c-6a70f091acb8?version=20.19.120,
#G0861,Generisk data,"Kalziumhydroxid (Ca(OH)2, trocken, gelöscht)","Læsket kalk, pulver",1.09784,0.002663,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/39bd1632-3f36-410c-86d9-cab27e91b1c5?version=20.19.120,
#G0862,Generisk data,Holzfaserdämmplatte (Nassverfahren),Træfiberisoleringsplade (våd proces),-182.182,334.691,-,-88.6621,1,M3,160,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/393f494d-8738-4330-aa5e-1652bb29b574?version=20.19.120,
#G0865,Generisk data,Fenstergriff,Vindueshåndtag,0.957379,0.251996,-,-0.109308,1,STK,0.1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/38ddefe2-e01c-4ece-9952-a353b7dfb246?version=20.19.120,
#G0868,Generisk data,Gas-Niedertemperaturgerät 20-120 kW (Standgerät),"Gaskedel, kondenserende, 20-120 kW",1104.19,22.6536,1.57929,-157.721,1,STK,292,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/38053775-45d9-4649-8299-ec8a5a60cbd9?version=20.19.120,
#G0872,Generisk data,Stahlprofil,Stålprofil,0.994444,-,0.00068207,-0.393,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/38051c22-fbd1-4b0e-944a-ae348b8c7695?version=20.19.120,
#G0873,Generisk data,Gas-Brennwertgerät 120-400 kW (Standgerät),Kondenserende gaskedel 120-400 kW (standalone enhed),3422.37,161.496,1.80285,-1357.73,1,STK,974,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/36d1bbf3-1e67-4a93-92f5-0321cc30018a?version=20.19.120,
#G0877,Generisk data,Innenfarbe Dispersionsfarbe scheuerfest,"Overflade, Indendørsmaling, emulsions maling, slidstærk",2.62123,-,0.0150055,-0.010823,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/35be6146-5a80-4a9e-a32d-5d05c03a8d5c?version=20.19.120,
#G0880,Generisk data,Calciumsulfatestrich,Kalciumsulfat,0.107014,-,0.0150055,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/34d3bb5e-f241-45b4-b257-123281364d97?version=20.19.120,
#G0882,Generisk data,Strom-Wärmepumpe (Wasser-Wasser) 20 kW,"Varmepumpe, vand-vand, 20 kW",284.32,5.22458,0.0300174,-173.463,1,STK,104,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/34ad748d-a657-4d69-92ae-c53dd18a0094?version=20.19.120,
#G0890,Generisk data,Steinzeugrohre DN 250,"Lerrør, glaseret, DN 250",26.2848,0.405381,-,-0.104753,1,M,51,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/335c3c94-a981-4dbd-af2f-811e918f1b94?version=20.19.120,
#G0896,Generisk data,Holz-Flügelrahmen,"Vinduesramme, træ",-0.147349,4.03685,-,-1.61135,1,M,2.11,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/318f08e0-1b04-49eb-ab16-531482cd75da?version=20.19.120,
#G0899,Generisk data,Schnittholz Kiefer (12% Feuchte/10.7% H2O),"Træ, fyrretræ (12% fugt / 10,7% H2O)",-783.129,985.049,-,-260.334,1,M3,548.8,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aea021e8-7e2f-4f6b-ae3f-a76cba4c5d6e?version=20.19.120,
#G0902,Generisk data,Umwälzpumpe < 50W,Cirkulationspumpe < 50 W,13.2285,0.432995,0.0225356,-2.53107,1,STK,2.47,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/301c6f09-ce88-4818-96c3-e420fe799d62?version=20.19.120,
#G0906,Generisk data,Lacksysteme Holzfenster Decklack weiß,"Overflade, Vinduesmaling, hvid",1.82186,0.784673,-,-0.243853,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2e5ca27a-fcd0-4dc1-b0ab-4a4c7eb4e030?version=20.19.120,
#G0909,Generisk data,"Flüssiggastank 2700 l/1,2 t (oberirdisch)","LPG tank 2700 l / t 1,2 (overjordiske)",1720.01,0.433551,-,-825.924,1,STK,648,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2d5644dd-ac9f-4546-a004-20ca372d5d08?version=20.19.120,
#G0912,Generisk data,Inertstoffdeponierung (Glas),"Affald, inert, deponering (glas)",-,-,0.0136414,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2d30b3f0-d118-4b24-a037-11f154b43f6f?version=20.19.120,
#G0913,Generisk data,"Flüssiggastank 4850 l/2,1t (oberirdisch)","LPG tank 4850 l / 2,1t (overjordiske)",2762.64,0.851223,-,-1621.6,1,STK,1040,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2c6e929d-026a-4547-b872-1213fba3a690?version=20.19.120,
#G0916,Generisk data,PIR Hartschaum,"PIR-skum, høj densitet (250 kg/m3)",781.381,644.627,-,-249.994,1,M3,250,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2c076ee7-3853-4f69-9bf5-8ec265fa43e0?version=20.19.120,
#G0919,Generisk data,"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 20 kW","El-varmepumpe (lodret jordvarme, saltvand) 20 kW",1997.42,4.35299,0.0300174,-156.292,1,STK,1498.05,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2af8a919-15c5-4709-bc6c-276d1e0951d5?version=20.19.120,
#G0923,Generisk data,Öl-Niedertemperaturgerät < 20 kW (Standgerät),"Oliekedel, lav temperatur, <20 kW",803.765,11.9181,0.946495,-139.23,1,STK,221,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2aa9cc62-46ee-447f-85e8-50d03e0574f4?version=20.19.120,
#G0927,Generisk data,Fußbodenheizung PEX (200 mm Abstand),"Gulvvarmesystem inkl. isolering, PEX (200 mm afstand)",5.6924,4.9229,-,-2.05162,1,M2,1.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2a99b26d-db9a-4514-bb03-ed965ed61558?version=20.19.120,
#G0930,Generisk data,Kalksandstein Mix,Kalksandsten,306.119,13.4516,-,-4.10796,1,M3,2000,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/29e6c6cf-0552-4e4b-85c7-26a68a625252?version=20.19.120,
#G0933,Generisk data,Splitt 2/15,Singels 2-15 mm,0.014695,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/26ad7410-7fcb-42e8-b622-d1ba2edbf10c?version=20.19.120,
#G0936,Generisk data,Fußbodenheizung PP (200 mm Abstand),"Gulvvarmesystem inkl. isolering, PP (200 mm afstand)",4.88738,4.9229,-,-2.05162,1,M2,1.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/243f619c-c8ee-4339-9bbd-4df03737aa1a?version=20.19.120,
#G0939,Generisk data,Kältemittel R407c,Kølemiddel (R407c),8.38122,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/242540e0-6b44-4080-bf2e-72fa45376cab?version=20.19.120,
#G0940,Generisk data,Brechsand 0/2 (getrocknet),"Sand, knust, tørret",0.0342735,0.00672578,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/230cd2c6-0b79-461b-b51a-d092e66843ca?version=20.19.120,
#G0943,Generisk data,Transparente Platten PC,"Plastplade, transparent, PC",6131.21,3661.42,-,-1368.53,1,M3,1200,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/222023f8-36c2-4345-a863-b49828a41e96?version=20.19.120,
#G0946,Generisk data,CR Profil (Chloropren-Kautschuk),CR-profil til forsegling (chloropren gummi),0.895329,0.555074,-,-0.276832,1,M,0.18,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/208395ce-85db-4ec3-ab24-8e5920f58077?version=20.19.120,
#G0949,Generisk data,Gipskartonplatte (Lochplatte),"Gipskartonplade 13 mm, hulplade",1.36406,-,0.127547,-,1,M2,8.5,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/207cde6a-73be-4ffb-972d-30d3d8619fc3?version=20.19.120,
#G0951,Generisk data,Baumwolle konventionell,Bomuld,-0.780289,2.20182,-,-0.722834,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/206deb33-2710-417d-9b92-aa70c7958334?version=20.19.120,
#G0954,Generisk data,Glasbausteine,Glasbyggesten,3926.96,-,44.3346,-,1,M3,2500,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1f2d6e42-9ffc-421d-990d-555eee4a7529?version=20.19.120,
#G0956,Generisk data,4.3.03 Gussteile aus Aluminium,"Aluminium, støbegods",10.9481,-,0.00068207,-8.26778,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1e8e3c3e-aad0-44ef-977e-d040c4597df0?version=20.19.120,
#G0957,Generisk data,Hackschnitzelkessel 120 - 400 kW,Stokerfyr 120-400 kW,7141.52,18.7887,1.80285,-3691.63,1,STK,3399,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1de7287f-aa29-4d83-92c6-e88bc14c76c2?version=20.19.120,
#G0961,Generisk data,Pfosten/Riegelsystem aus Aluminium,"Curtain wall profiler, aluminium",55.1564,3.42169,-,-35.6544,1,M,5.7,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1d2945e3-856e-4c5f-9894-e75bafad3a76?version=20.19.120,
#G0964,Generisk data,Kunststoffprofil SBR,Plast profil SBR,4.20151,3.1383,-,-1.6957,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1b69b3a2-3164-436b-a934-ed7d926f5f53?version=20.19.120,
#G0970,Generisk data,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem),"Overflade, træfacade, semi-pigmenteret lasursystem",2.7365,0.836874,-,-0.261171,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1a4a4522-7297-4ae5-a430-689e89ec2159?version=20.19.120,
#G0973,Generisk data,Porenbeton P4 05 unbewehrt,Porebeton 472 kg/m³,222.605,3.17457,-,-0.969479,1,M3,472,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1a43ae76-2dc9-4a3a-9926-47e7137e773d?version=20.19.120,
#G0976,Generisk data,"Rohre für Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 10 kW","Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 10 kW",363.115,0,-,-,1,STK,141,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1a27c109-1e99-45e7-b198-7c79f926b996?version=20.19.120,
#G0978,Generisk data,Splittmastixasphalt SMA,Skærvemastisk asfalt (SMA),0.0765834,0,-,-0.0263052,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/19f46be3-d65a-441f-8d74-dfc412160cf1?version=20.19.120,
#G0984,Generisk data,Fensterglas einfach,Glas 4 mm,13.3289,-,0.163697,-,1,M2,10,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/1490b480-2c36-43f2-ba8b-4ea49948f7c3?version=20.19.120,
#G0986,Generisk data,Gas-Brennwertgerät < 20 kW (Standgerät),Kondenserende gaskedel <20 kW (standalone enhed),753.547,21.8182,1.5829,-183.436,1,STK,133,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/12bd4f95-1ff1-4b63-8654-e2dca3fd38fe?version=20.19.120,
#G0990,Generisk data,Metalllack (lösemittelbasiert),"Overflade, Metal maling (opløsningsmiddelbaseret)",2.28622,0.143886,-,-0.0404745,1,M2,0.21,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/118d1b5e-5f22-4d04-8711-c4b02de02209?version=20.19.120,
#G0993,Generisk data,Lithium Eisenphosphat (LFP) Batterie (pro 1kWh Speicherkapazität),Lithium jernfosfat (LiFePO4) batteri (1 kWh lagring),241.48,-,22.5933,-35.2863,1,STK,23.3,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/10c531c8-329c-479a-bbe9-17990ca5dfd6?version=20.19.120,
#G0996,Generisk data,Gas-Brennwertgerät 20-120 kW (Standgerät),Kondenserende gaskedel 20-120 kW (standalone enhed),1268.3,46.7263,1.80285,-392.75,1,STK,283,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0fa37281-b976-458b-880e-46268ca7a294?version=20.19.120,
#G1000,Generisk data,Wasserlack weiß,"Overflade, Vandbaseret lak, hvid",2.01226,0.856007,-,-0.24092,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0f072f06-faa5-466e-970c-a7215685f5a2?version=20.19.120,
#G1003,Generisk data,"Betonrohr, unbewehrt","Betonrør, u-armeret",0.132191,0.00733722,-,-0.00205398,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0eada728-b626-4f79-ba67-020635b4e67f?version=20.19.120,
#G1006,Generisk data,PVC Plastisol,PVC plastisol,2.43275,2.73937,-,-0.556058,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0e39587e-8c05-4a8e-80b5-bb9a57bbe164?version=20.19.120,
#G1009,Generisk data,Pelletkessel < 20 kW,"Pellet-kedel, <20 kW",1168.47,1.31871,1.80285,-409.511,1,STK,335,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0e03a1c1-0aa9-4e94-bbc5-653d967b0d8d?version=20.19.120,
#G1013,Generisk data,Rotguss-Bauteil,Rørgods,1.77322,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0cc9aee8-95a6-45bf-b581-1d982e593703?version=20.19.120,
#G1018,Generisk data,Fassadenfarbe Silikat-Dispersionsfarbe,"Overflade, Facademaling, silikat",0.865769,-,0.0150055,-0.010823,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/02f2750e-eec2-492a-9f05-b9600593b6c5?version=20.19.120,
#G1021,Generisk data,Gipsputz (Gips-Kalk-Putz),"Puds, gips",134.173,-,13.505,-,1,M3,900,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0b0d0210-c31d-4fc7-b11a-9cdfe0a87ed6?version=20.19.120,
#G1023,Generisk data,Zementestrich,"Afretningslag, cementbaseret",0.183551,-,0.0150055,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0973f221-2284-4892-ae3d-1b8c2986b6dd?version=20.19.120,
#G1025,Generisk data,"Strom-Wärmepumpe (Sole-Wasser, Erdsonde) 10 kW","Varmepumpe, jordvarmesonde, 10 kW",855.755,4.35299,0.0300174,-156.292,1,STK,563,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0959c210-3af7-43df-9a7b-0f5ac19656ea?version=20.19.120,
#G1032,Generisk data,Harnstoff-Formaldehydharz Ortschaum,Urea formaldehyd skum isolering,2.88236,1.87588,-,-0.666651,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/08bdbef6-9134-422f-8504-00eeee75d31f?version=20.19.120,
#G1035,Generisk data,Schnittholz Buche (12% Feuchte/10.7% H2O),"Træbrædder, bøg (12% fugtighed / 10,7% H2O)",-1093.21,1328.2,-,-352.468,1,M3,739.2,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/08bbc2e2-1513-4ce3-816e-99e95fdafc4e?version=20.19.120,
#G1038,Generisk data,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,"Overflade, Vinduesmaling, mellemlag dækkende hvid",1.78204,0.784673,-,-0.243992,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/08138b62-1b5f-497a-bf9a-d7f857a2e575?version=20.19.120,
#G1041,Generisk data,Kalk-Innenputz,"Kalkpuds, tørstof",190.611,-,13.505,-,1,M3,900,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/07f3cd13-22bb-494d-803a-f0a440fbce7a?version=20.19.120,
#G1043,Generisk data,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 20 kW","Varmepumpe, jordvarmeslange, 20 kW",392.972,4.35298,0.0300174,-156.278,1,STK,184.2,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/063cabc8-b90e-4629-b514-a39dc10f0552?version=20.19.120,
#G1047,Generisk data,"Strom-Wärmepumpe (Sole-Wasser, Erdkollektor) 70 kW","Varmepumpe, jordvarmeslange, 70 kW",931.906,11.4808,0.0300174,-267.738,1,STK,488.9,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/062fc223-898a-42bd-a133-8e0fe95cb7a5?version=20.19.120,
#G1051,Generisk data,Baumwolle ökologisch,"Bomuld, økologisk",-0.553836,2.20182,-,-0.722834,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/061f0d5b-61f4-476d-9f2e-96f6a6df7786?version=20.19.120,
#G1054,Generisk data,Verbrennung Kunststoff in MVA inkl. Gutschrift,"Affald (forbrænding), kunststof, fjernvarme",-,2.52745,-,-1.40543,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/0532424f-838f-4411-b8cc-0e29ad16d64b?version=20.19.120,
#G1056,Generisk data,Propan (R290),Propan (R290),0.556878,0,-,-,1,KG,1,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/03517019-174a-47f4-8f28-01ed77584cb9?version=20.19.120,
#G1057,Generisk data,Klimagerät (Direktverdampfer) (pro 1 kW),Aircondition (direkte fordamper) (per 1 kW),45.7792,3.03977,0.428176,-24.1576,1,STK,13.4,http://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/02f86799-1fba-4c8e-9820-027e6f2fae0e?version=20.19.120,
